   33, 5,0,0,0,0,0,  -8114.62,   1808.04
   34, 1,0,0,1,0,0, -48499.88,   1366.49
   34, 2,0,0,1,0,0,  -3259.46,   1366.49
   34, 3,0,0,1,0,0, -42133.73,   1366.49
   34, 4,0,0,1,0,0, -26262.04,   1366.49
   34, 5,0,0,1,0,0, -36187.63,   1366.49
   35, 1,0,0,0,0,1,  14882.63,   2321.57
   35, 2,0,0,0,0,1, -38773.59,   2321.57
   35, 3,0,0,0,0,1,    642.47,   2321.57
   35, 4,0,0,0,0,1,  -2897.64,   2321.57
   35, 5,0,0,0,0,1,  15546.94,   2321.57
   36, 1,0,0,1,0,0, -11448.45,   1366.49
   36, 2,0,0,1,0,0, -68785.72,   1366.49
   36, 3,0,0,1,0,0,  31936.55,   1366.49
   36, 4,0,0,1,0,0,  45387.55,   1366.49
   36, 5,0,0,1,0,0, -56158.21,   1366.49
   37, 1,0,0,1,0,1,    937.83,   1754.61
   37, 2,0,0,1,0,1,  -5232.15,   1754.61
   37, 3,0,0,1,0,1,  -6792.58,   1754.61
   37, 4,0,0,1,0,1,  18102.30,   1754.61
   37, 5,0,0,1,0,1, -37936.60,   1754.61
   38, 1,0,0,1,0,1,  -7617.28,   1754.61
   38, 2,0,0,1,0,1, -30753.01,   1754.61
   38, 3,0,0,1,0,1,   2911.10,   1754.61
   38, 4,0,0,1,0,1,  20157.31,   1754.61
   38, 5,0,0,1,0,1,  34350.16,   1754.61
   39, 1,0,0,1,0,1,  12032.55,   1754.61
   39, 2,0,0,1,0,1,  -1187.93,   1754.61
   39, 3,0,0,1,0,1, -31172.39,   1754.61
   39, 4,0,0,1,0,1, -19673.13,   1754.61
   39, 5,0,0,1,0,1, -57476.38,   1754.61
   40, 1,0,0,1,0,1,   3551.90,   1754.61
   40, 2,0,0,1,0,1,  41557.19,   1754.61
   40, 3,0,0,1,0,1,  29405.63,   1754.61
   40, 4,0,0,1,0,1,  40513.91,   1754.61
   40, 5,0,0,1,0,1,  -8158.02,   1754.61
   41, 1,0,0,2,0,1, -13244.47,   1274.11
   41, 2,0,0,2,0,1, -86158.28,   1274.11
   41, 3,1,0,2,0,1,  20306.34,    544.57
   41, 4,0,1,2,1,1,  -1687.54,   1274.11
   41, 5,0,1,2,0,1,   8767.83,   1274.11
   42, 1,0,0,1,0,0,  20417.26,   1366.49
   42, 2,0,0,1,0,0,  19187.21,   1366.49
   42, 3,1,0,1,0,0,  30305.46,    584.06
   42, 4,0,1,1,1,0, -12373.72,   1366.49
   42, 5,0,1,1,0,0,  32469.90,   1366.49
   43, 1,0,0,2,0,0, -39119.90,    992.27
   43, 2,0,0,2,0,0, -39633.27,    992.27
   43, 3,0,0,2,0,0, -55363.60,    992.27
   43, 4,1,0,2,0,0,  15476.02,    424.11
   43, 5,0,1,2,1,0,-119447.25,    992.27
   44, 1,0,0,1,0,0,  -5101.65,   1366.49
   44, 2,0,0,1,0,0,  30724.53,   1366.49
   44, 3,0,0,1,0,0,  12179.97,   1366.49
   44, 4,0,0,1,0,0,    183.77,   1366.49
   44, 5,0,0,1,0,0,  48221.98,   1366.49
   45, 1,0,0,2,0,1, -36918.06,   1274.11
   45, 2,0,0,2,0,1, 107379.79,   1274.11
   45, 3,0,0,2,0,1,-101768.39,   1274.11
   45, 4,0,0,2,0,1, -16453.97,   1274.11
   45, 5,0,0,2,0,1,   6675.37,   1274.11
   46, 1,0,0,0,0,0,  24371.11,   1808.04
   46, 2,0,0,0,0,0,  -8799.35,   1808.04
   46, 3,0,0,0,0,0,  12408.62,   1808.04
   46, 4,0,0,0,0,0,  -7382.27,   1808.04
   46, 5,0,0,0,0,0, -12349.73,   1808.04
   47, 1,0,0,1,0,0, -26006.54,   1366.49
   47, 2,0,0,1,0,0, -10037.67,   1366.49
   47, 3,0,0,1,0,0,   9809.51,   1366.49
   47, 4,0,0,1,0,0, -37498.00,   1366.49
   47, 5,0,0,1,0,0, -12241.84,   1366.49
   48, 1,0,0,1,0,0, -24791.71,   1366.49
   48, 2,0,0,1,0,0,  37744.93,   1366.49
   48, 3,0,0,1,0,0, -24143.04,   1366.49
   48, 4,0,0,1,0,0,  -3385.69,   1366.49
   48, 5,0,0,1,0,0,   3903.10,   1366.49
   49, 1,0,0,2,0,0,  21543.68,    992.27
   49, 2,0,0,2,0,0,-108590.15,    992.27
   49, 3,0,0,2,0,0, -11920.27,    992.27
   49, 4,0,0,2,0,0, -61276.04,    992.27
   49, 5,0,0,2,0,0, -13058.57,    992.27
   50, 1,0,0,1,0,0,  42347.72,   1366.49
   50, 2,0,0,1,0,0,  71203.56,   1366.49
   50, 3,0,0,1,0,0, -33972.28,   1366.49
   50, 4,0,0,1,0,0, -24325.35,   1366.49
   50, 5,0,0,1,0,0, -12433.73,   1366.49
   51, 1,0,0,1,0,0, -36514.05,   1366.49
   51, 2,0,0,1,0,0,  34679.13,   1366.49
   51, 3,1,0,1,0,0,  32845.72,    584.06
   51, 4,1,1,1,1,0,  24743.52,    584.06
   51, 5,0,2,1,1,0, -26655.94,   1366.49
   52, 1,0,0,2,0,1,  34220.07,   1274.11
   52, 2,0,0,2,0,1, -34427.68,   1274.11
   52, 3,0,0,2,0,1,  54752.87,   1274.11
   52, 4,0,0,2,0,1,-127906.67,   1274.11
   52, 5,0,0,2,0,1,   4444.34,   1274.11
   53, 1,0,0,0,0,0,  39287.00,   1808.04
   53, 2,0,0,0,0,0, -42173.23,   1808.04
   53, 3,0,0,0,0,0, -39068.58,   1808.04
   53, 4,1,0,0,0,0,  34064.91,    772.78
   53, 5,0,1,0,1,0,  12592.16,   1808.04
   54, 1,0,0,1,0,1, -62899.79,   1754.61
   54, 2,1,0,1,0,1,  79564.48,    749.95
   54, 3,0,1,1,1,1,   3818.25,   1754.61
   54, 4,0,1,1,0,1,  33739.80,   1754.61
   54, 5,0,1,1,0,1, -11654.66,   1754.61
   55, 1,0,0,1,0,0, -42677.96,   1366.49
   55, 2,0,0,1,0,0, -18969.08,   1366.49
   55, 3,0,0,1,0,0,  54578.68,   1366.49
   55, 4,1,0,1,0,0,  43956.16,    584.06
   55, 5,0,1,1,1,0, -47056.39,   1366.49
   56, 1,1,0,1,0,1,   2086.96,    749.95
   56, 2,1,1,1,1,1,  24879.47,    749.95
   56, 3,0,2,1,1,1,  16032.12,   1754.61
   56, 4,1,2,1,0,1,  32293.11,    749.95
   56, 5,0,3,1,1,1,  -5947.55,   1754.61
   57, 1,0,0,2,0,0, -18311.18,    992.27
   57, 2,0,0,2,0,0,  -5915.13,    992.27
   57, 3,0,0,2,0,0,  37030.93,    992.27
   57, 4,0,0,2,0,0, -79246.26,    992.27
   57, 5,0,0,2,0,0, -40561.48,    992.27
   58, 1,0,0,1,0,0, -18888.41,   1366.49
   58, 2,0,0,1,0,0,   6411.28,   1366.49
   58, 3,0,0,1,0,0,  -7924.94,   1366.49
   58, 4,0,0,1,0,0,  -9779.69,   1366.49
   58, 5,0,0,1,0,0, -25321.55,   1366.49
   59, 1,0,0,0,0,0,  21877.21,   1808.04
   59, 2,0,0,0,0,0, -23682.14,   1808.04
   59, 3,0,0,0,0,0,  53412.84,   1808.04
   59, 4,0,0,0,0,0,  16533.16,   1808.04
   59, 5,0,0,0,0,0,   8329.32,   1808.04
   60, 1,0,0,0,0,0, -17818.47,   1808.04
   60, 2,0,0,0,0,0,  32562.14,   1808.04
   60, 3,0,0,0,0,0,  25513.39,   1808.04
   60, 4,0,0,0,0,0,  -9140.02,   1808.04
   60, 5,0,0,0,0,0,  -3527.62,   1808.04
   61, 1,0,0,1,0,1, -24808.34,   1754.61
   61, 2,0,0,1,0,1, -21768.24,   1754.61
   61, 3,0,0,1,0,1,  -1365.83,   1754.61
   61, 4,1,0,1,0,1,  50037.21,    749.95
   61, 5,0,1,1,1,1, -13459.42,   1754.61
   62, 1,0,0,1,0,0, -16569.44,   1366.49
   62, 2,0,0,1,0,0,  12574.46,   1366.49
   62, 3,0,0,1,0,0,   2865.13,   1366.49
   62, 4,0,0,1,0,0, -46285.24,   1366.49
   62, 5,0,0,1,0,0, -45255.53,   1366.49
   63, 1,0,0,1,0,1, -30824.89,   1754.61
   63, 2,0,0,1,0,1, -51662.95,   1754.61
   63, 3,0,0,1,0,1, -30382.07,   1754.61
   63, 4,0,0,1,0,1, -10712.34,   1754.61
