year,skills,newCodeA,tenure,type,group,weight,A1age,A1age2,A1age3,A1cons
1995,2,5,2,2,4,1187.886,-.0178742,.0004494,-3.70e-06,.2629422
1995,2,5,3,2,4,636.3006,-.0235345,.000538,-4.11e-06,.370765
1995,2,5,4,2,4,281.7476,-.0475745,.0010831,-8.20e-06,.7183827
1995,2,5,5,2,4,4173.781,-.0073466,.0002386,-2.35e-06,.0969081
1995,3,5,0,1,5,95.42797,.0164014,-.0005221,4.62e-06,-.087125
1995,3,5,1,1,5,60.35335,.0082712,-.0003612,3.56e-06,.0457545
1995,3,5,2,1,5,41.73094,.0168129,-.0004485,3.48e-06,-.1431059
1995,3,5,3,1,5,14.03095,.0628608,-.001261,7.71e-06,-.9253371
1995,3,5,4,1,5,9.236056,.0211373,-.0001111,-1.66e-06,-.456288
1995,3,5,5,1,5,33.29944,.028966,-.0006238,4.19e-06,-.3859339
1995,3,5,0,2,6,395.572,-.062092,.001267,-8.60e-06,1.019959
1995,3,5,1,2,6,260.6466,-.0265111,.0004851,-2.98e-06,.4967201
1995,3,5,2,2,6,150.2691,-.0067636,.0000987,-5.39e-07,.1758595
1995,3,5,3,2,6,52.96905,-.015305,.0003127,-2.18e-06,.286202
1995,3,5,4,2,6,14.76394,-.1000947,.0029671,-.0000298,1.21646
1995,3,5,5,2,6,80.70056,.0181724,-.0004701,3.80e-06,-.1839306
1995,1,6,0,1,1,82.22169,.0166478,-.0003881,2.95e-06,-.2022665
1995,1,6,1,1,1,46.46122,.0235518,-.0005432,3.95e-06,-.2895149
1995,1,6,2,1,1,27.76258,.0451783,-.0011416,9.41e-06,-.5551922
1995,1,6,3,1,1,28.13977,-.0149947,.0003562,-2.70e-06,.2293688
1995,1,6,4,1,1,32.49615,-.0287216,.0007846,-6.65e-06,.349521
1995,1,6,5,1,1,436.4781,-.0379921,.0009785,-7.68e-06,.4674939
1995,1,6,0,2,2,629.7783,.0041552,-.0000558,9.83e-08,-.0498071
1995,1,6,1,2,2,427.5388,.0082299,-.0001746,1.18e-06,-.0930914
1995,1,6,2,2,2,226.2374,.0211145,-.0004791,3.53e-06,-.2705287
1995,1,6,3,2,2,159.8602,.0306018,-.0007298,5.60e-06,-.3810337
1995,1,6,4,2,2,153.5038,.0036236,6.22e-07,-5.80e-07,-.0736572
1995,1,6,5,2,2,1641.522,-.0097272,.0003132,-2.80e-06,.0971794
1995,2,6,0,1,3,95.00752,.0104609,-.0001261,-6.56e-08,-.1699474
1995,2,6,1,1,3,67.44247,.0082474,-.0000834,-3.49e-07,-.1320415
1995,2,6,2,1,3,38.74789,.0685814,-.0017365,.000014,-.8262548
1995,2,6,3,1,3,31.94388,.0598397,-.0014545,.0000113,-.753732
1995,2,6,4,1,3,41.49878,.069955,-.0016666,.0000126,-.8951846
1995,2,6,5,1,3,432.64,-.0188498,.0006454,-6.39e-06,.1708889
1995,2,6,0,2,4,723.9925,.0404768,-.0009329,6.73e-06,-.5155334
1995,2,6,1,2,4,565.5575,.0306973,-.0007251,5.35e-06,-.3722743
1995,2,6,2,2,4,317.2521,.0158844,-.0003896,2.87e-06,-.1608205
1995,2,6,3,2,4,258.0561,.0495146,-.0012085,9.24e-06,-.5983661
1995,2,6,4,2,4,211.5012,.0204241,-.0004967,3.64e-06,-.2188012
1995,2,6,5,2,4,2190.36,.0272549,-.0005577,3.53e-06,-.382268
1995,3,6,0,1,5,21.03347,.0777641,-.0018416,.0000141,-1.025918
1995,3,6,1,1,5,20.04345,.0048906,.0000472,-1.65e-06,-.1208087
1995,3,6,2,1,5,18.95686,-.0722904,.0018937,-.0000156,.8900246
1995,3,6,3,1,5,12.91534,-.0658851,.0017665,-.0000146,.7790477
1995,3,6,4,1,5,6.854307,.0269325,-.0006904,6.32e-06,-.3294357
1995,3,6,5,1,5,70.61649,-.0365546,.0011143,-.0000102,.3703777
1995,3,6,0,2,6,184.9665,-.0128518,.0004773,-5.02e-06,.1149865
1995,3,6,1,2,6,118.9566,.0119984,-.0001416,-2.54e-08,-.2079727
1995,3,6,2,2,6,67.04314,.0362934,-.0007925,5.53e-06,-.4958847
1995,3,6,3,2,6,37.08466,.0352844,-.0007189,4.44e-06,-.4875605
1995,3,6,4,2,6,13.14569,-.0782232,.0019951,-.000017,1.105837
1995,3,6,5,2,6,152.3835,-.0404722,.0011796,-.0000105,.4456754
1995,1,7,0,1,1,157.5467,-.0299142,.0006624,-4.99e-06,.4828413
