sample	newcode	beta1	beta2	beta3	beta4	beta5	beta6	beta7	beta8	beta9	sigma
52	32	-.0095418999	.060582001	.039898001	-.00041060001	-.96066999	-.060656	-.47231001	0	0	.14102
53	32	-.010787	.061988998	.041515999	-.00043399999	-.95323002	-.067956999	-.48299	0	0	.13854
54	32	-.0096987998	.060493	.039714999	-.0004051	-.96533	-.064089999	-.48010999	0	0	.14038
55	32	-.011747	.062038001	.040812999	-.0004206	-.96021003	-.071291	-.4702	0	0	.13947
56	32	-.011347	.061140999	.039960001	-.00041060001	-.96508002	-.064087003	-.48996001	0	0	.13944
57	32	-.012736	.064024001	.041382998	-.00042659999	-.97544998	-.070955999	-.47959	0	0	.13921
58	32	-.010738	.060904998	.03971	-.00041080001	-.96376997	-.069314003	-.48442999	0	0	.13885
59	32	-.0095765004	.061324999	.041196	-.00042299999	-.96197999	-.066193998	-.47486001	0	0	.13937999
60	32	-.010912	.061680999	.039494	-.0004048	-.96272999	-.065223999	-.49057001	0	0	.14105
61	32	-.01171	.062463	.040924001	-.00042200001	-.95753998	-.069297001	-.48249	0	0	.14048
62	32	-.011542	.062960997	.04143	-.00042880001	-.97302002	-.071778998	-.4614	0	0	.14122
63	32	-.011312	.061535999	.040406	-.0004168	-.95789999	-.069821998	-.48875999	0	0	.13934
64	32	-.01056	.062738001	.039779	-.0004057	-.95192999	-.068040997	-.46792999	0	0	.14064001
65	32	-.011061	.062811002	.039508	-.00040700001	-.96860999	-.065742001	-.48331001	0	0	.13971999
66	32	-.011578	.062470999	.040104002	-.00041159999	-.95997	-.063476004	-.4892	0	0	.13946
67	32	-.010486	.061361998	.040991001	-.00042319999	-.95560998	-.070679002	-.47670999	0	0	.13921
68	32	-.010586	.060596999	.038251001	-.00039060001	-.96278	-.067287996	-.47964001	0	0	.13939001
69	32	-.01062	.061946999	.039937999	-.00041000001	-.94976997	-.065188996	-.47846001	0	0	.14137
70	32	-.010788	.060897	.040029999	-.0004126	-.95049	-.066459998	-.48844999	0	0	.13945
71	32	-.011373	.062167998	.039292	-.00040250001	-.96267998	-.064295001	-.48003	0	0	.14156
72	32	-.011094	.061257001	.040748	-.00041889999	-.96572	-.075126998	-.47575	0	0	.13869999
73	32	-.01088	.060013998	.038874999	-.0003976	-.97455001	-.065435	-.48778999	0	0	.13889
74	32	-.010992	.061767999	.041182999	-.0004278	-.96443999	-.060956001	-.48495001	0	0	.14021
75	32	-.010962	.061200999	.041255999	-.0004279	-.96046001	-.066283002	-.48306999	0	0	.13970999
76	32	-.011657	.06168	.042525001	-.0004433	-.98395002	-.069600001	-.47955	0	0	.13891999
77	32	-.011232	.061898001	.039074998	-.00039999999	-.97860003	-.069356002	-.48388001	0	0	.14001
78	32	-.010881	.06137	.03974	-.00041040001	-.97263998	-.068157002	-.48637	0	0	.13950001
79	32	-.010757	.062155001	.038727999	-.00039440001	-.96952999	-.068804003	-.46553999	0	0	.14042
80	32	-.011041	.061296001	.039322998	-.00040670001	-.97829002	-.067891002	-.49173	0	0	.13933
81	32	-.010561	.062256001	.038214002	-.00038849999	-.98585999	-.073599003	-.46909001	0	0	.13937999
82	32	-.010302	.061085001	.039562002	-.00040829999	-.95933002	-.067524001	-.47413999	0	0	.14222001
83	32	-.012199	.062495999	.038936	-.00039639999	-.93970001	-.065830998	-.47847	0	0	.14053001
84	32	-.011425	.062268	.039030001	-.00039979999	-.97416002	-.067628004	-.47845	0	0	.13985001
85	32	-.010548	.061662	.039584	-.00040829999	-.95388001	-.067029998	-.47251001	0	0	.14066
86	32	-.0095202001	.059652001	.039248001	-.00040200001	-.96723998	-.072572999	-.48863	0	0	.13894001
87	32	-.010502	.061200999	.039450001	-.00040280001	-.94602001	-.067387	-.48216	0	0	.14029001
88	32	-.011681	.062639996	.039232001	-.0004045	-.95832002	-.071475998	-.48027	0	0	.14033
89	32	-.010863	.062111001	.042994998	-.00044979999	-.95749003	-.071322002	-.49133	0	0	.13877
90	32	-.010621	.060947001	.041223001	-.00042540001	-.95726001	-.069986001	-.48036999	0	0	.14002
91	32	-.01074	.061303001	.040961001	-.00042359999	-.96771997	-.069857001	-.47953999	0	0	.14059
92	32	-.010447	.062047999	.040562	-.00041840001	-.96911001	-.072538003	-.47733	0	0	.1415
93	32	-.010208	.060789	.040656	-.0004203	-.94805002	-.068329997	-.46889001	0	0	.14022
94	32	-.0092658997	.060470998	.0418	-.00043439999	-.95981002	-.070821002	-.48508999	0	0	.14053001
95	32	-.010262	.061492	.041724999	-.0004317	-.95390999	-.065936998	-.47865999	0	0	.13858999
96	32	-.011677	.06295	.040135	-.0004095	-.97249001	-.067282997	-.47915	0	0	.14108001
97	32	-.010757	.062213998	.03954	-.0004057	-.94853002	-.060504999	-.47918001	0	0	.1417
98	32	-.012327	.063054003	.040066	-.00040970001	-.96674001	-.071441002	-.47527999	0	0	.14134
99	32	-.011148	.060444001	.039878	-.00041010001	-.96788001	-.064741999	-.48282	0	0	.13796
100	32	-.012149	.062852003	.037964001	-.0003861	-.97064	-.069289997	-.48609	0	0	.13853
0	33	.036593001	-.020223999	.046015002	-.00045769999	0	0	0	0	-.45601001	.19027001
1	33	.036104001	-.020695999	.047143001	-.0004701	0	0	0	0	-.46244001	.18991999
2	33	.036308002	-.018383	.044514	-.00044189999	0	0	0	0	-.45313999	.19135
3	33	.035576001	-.018121	.0458	-.0004584	0	0	0	0	-.45998001	.19140001
4	33	.035934001	-.020431999	.045017	-.00044800001	0	0	0	0	-.46029001	.18875
5	33	.037002001	-.019610999	.04851	-.00048819999	0	0	0	0	-.45997	.19011
6	33	.037312001	-.020834999	.044201002	-.00043750001	0	0	0	0	-.45449999	.19031
7	33	.037227001	-.019267	.042633001	-.00042160001	0	0	0	0	-.44938001	.1904
8	33	.037763	-.020537	.047297999	-.00047249999	0	0	0	0	-.45085001	.18946999
9	33	.036724001	-.019971	.046162002	-.00045970001	0	0	0	0	-.45559001	.19202
10	33	.036123998	-.019016	.045217998	-.0004514	0	0	0	0	-.46258	.18858001
11	33	.038846001	-.019143	.044114999	-.000439	0	0	0	0	-.45280999	.19042
12	33	.037131	-.019889999	.044950001	-.00044850001	0	0	0	0	-.45242	.18932
13	33	.037367001	-.019451	.043667998	-.00043499999	0	0	0	0	-.45782	.18866999
14	33	.035822	-.019078	.046742	-.00046730001	0	0	0	0	-.45576	.19227999
15	33	.036327999	-.020087	.045953002	-.00045749999	0	0	0	0	-.44852	.19244
16	33	.036121	-.022968	.048636001	-.0004859	0	0	0	0	-.44473001	.19114999
17	33	.036706001	-.019417999	.046889	-.00046849999	0	0	0	0	-.44648001	.19013
18	33	.037836999	-.020608	.047001	-.0004695	0	0	0	0	-.45117	.19114
19	33	.038028002	-.018967999	.045552999	-.00045580001	0	0	0	0	-.44929001	.19104999
20	33	.036444001	-.019773001	.043827001	-.00042510001	0	0	0	0	-.44705001	.19182
21	33	.036775999	-.02036	.046023998	-.00045699999	0	0	0	0	-.45471001	.19174001
22	33	.034963999	-.019413	.048640002	-.00048730001	0	0	0	0	-.45523	.19027001
23	33	.037206002	-.020067999	.046649002	-.0004698	0	0	0	0	-.44393	.18934999
24	33	.036054	-.021318	.046002999	-.00045779999	0	0	0	0	-.4596	.18964
25	33	.038550999	-.020825	.046581998	-.00046330001	0	0	0	0	-.45052999	.19185001
26	33	.037399001	-.021687999	.046921998	-.00046929999	0	0	0	0	-.46625999	.18741
27	33	.036192998	-.018177999	.046151999	-.0004587	0	0	0	0	-.46779999	.18953
28	33	.036995001	-.022451	.047462001	-.0004743	0	0	0	0	-.45660001	.19088
29	33	.038180999	-.021724001	.047212999	-.00046889999	0	0	0	0	-.43935999	.18921
30	33	.035835002	-.019893	.045786999	-.00045699999	0	0	0	0	-.45829001	.1885
31	33	.036366999	-.018203	.045529999	-.00045230001	0	0	0	0	-.45605001	.18927
32	33	.036254	-.020636	.048516002	-.0004856	0	0	0	0	-.46395999	.19487999
33	33	.037795998	-.02	.045256	-.00045270001	0	0	0	0	-.45006999	.18938001
34	33	.037027001	-.020763	.045435999	-.00044999999	0	0	0	0	-.45197001	.19052
35	33	.036332998	-.018731	.046087999	-.00046059999	0	0	0	0	-.45943999	.19281
36	33	.036075	-.019742001	.044380002	-.00044070001	0	0	0	0	-.45465001	.19107001
37	33	.03559	-.019166	.049515001	-.00049970002	0	0	0	0	-.46151	.18888
38	33	.035397001	-.019129001	.045076001	-.00044860001	0	0	0	0	-.44960999	.18963
39	33	.036713	-.019202	.046342	-.0004631	0	0	0	0	-.45021999	.19149999
40	33	.037482001	-.018656	.045552999	-.00044949999	0	0	0	0	-.45122001	.19008
41	33	.036481999	-.020024	.047348	-.0004735	0	0	0	0	-.44858	.19078
