sample	newcode	betay1	betay2	betay3	betay4	betay5	betay6	betay7	betay8	betay9	betay10	betay11	betay12
98	25	-1.5259	-1.5257	-1.5387	-1.5323	-1.5506999	-1.566	-1.566	-1.5666	-1.5858999	-1.5612	-1.5761	-1.5077
98	26	-1.0414	-1.0561	-1.04	-1.022	-1.0421	-1.0394	-1.0143	-.98848999	-.97387999	-.95573997	-.94496	-.93573999
98	27	-.55716002	-.54597998	-.52342999	-.51647002	-.53468001	-.52105999	-.48567	-.50607997	-.52445	-.53742999	-.53956997	-.52105999
98	28	-1.2659	-1.2962	-1.2871	-1.2969	-1.3055	-1.2966	-1.2678	-1.289	-1.3245	-1.3827	-1.322	-1.2723
98	29	-.83489001	-.81305999	-.78275001	-.75195003	-.77463001	-.74106997	-.70664001	-.71740001	-.72228003	-.72526997	-.73319	-.70660001
98	30	-.88422	-.91627997	-.88909	-.89051998	-.89547998	-.88536	-.86230999	-.84610999	-.88845003	-.88433999	-.88326001	-.85926998
98	31	-1.4265	-1.4526	-1.4089	-1.4068	-1.4137	-1.3932	-1.3676	-1.3424	-1.3882999	-1.3866	-1.3587	-1.3152
98	32	-1.0384001	-1.0568	-1.0195	-.99776	-1.0039999	-1.0094	-.98637003	-.97830999	-1.012	-.96134001	-.96613997	-.98732001
98	33	-.92807001	-.90307999	-.86892998	-.86833	-.85690999	-.86755002	-.83473998	-.82628	-.80541998	-.79150999	-.79799998	-.79183
98	34	-1.5898	-1.5872999	-1.5778	-1.5804	-1.5779999	-1.5647	-1.5624	-1.5497	-1.5311	-1.5118001	-1.4997	-1.4858
98	35	-1.1891	-1.1722	-1.1476001	-1.1409	-1.1387	-1.1415	-1.1186	-1.1154	-1.0957	-1.0913	-1.0825	-1.0671
98	36	-1.2979	-1.2837	-1.2538	-1.2581	-1.2524	-1.2496001	-1.237	-1.2292	-1.2129	-1.2126	-1.2043999	-1.1896
98	37	-1.7308	-1.7437	-1.7213	-1.7341	-1.7355	-1.7372	-1.6921999	-1.6754	-1.671	-1.6269	-1.59	-1.5652
