,edu,exp,id,mar,offer,owage,time,work
254,2,4,50,0,0,-inf,4,0
255,2,0,51,0,1,169583.03422635995,0,1
256,2,1,51,0,1,9771.519606215237,1,1
257,2,2,51,0,1,114383.92380022106,2,1
258,2,3,51,0,1,115315.3944180836,3,1
259,2,4,51,0,0,-inf,4,0
260,2,0,52,0,1,15224.119102394765,0,1
261,2,1,52,0,1,137810.0399220895,1,1
262,2,2,52,0,1,222153.04327790227,2,1
263,2,3,52,0,1,285100.10160972655,3,1
264,2,4,52,0,0,-inf,4,0
265,2,0,53,0,0,38087.836593298074,0,0
266,2,0,53,0,0,99169.81707551781,1,0
267,2,0,53,0,0,7005.960783518932,2,0
268,2,0,53,0,0,46395.97097505871,3,0
269,2,0,53,0,0,-inf,4,0
270,2,0,54,0,1,228897.00345755857,0,1
271,2,1,54,0,1,863929.03301486,1,1
272,2,2,54,0,1,33187.908275105256,2,1
273,2,3,54,0,1,6584.539318007895,3,0
274,2,3,54,0,0,-inf,4,0
275,2,0,55,0,1,11513.020886973016,0,0
276,2,0,55,0,0,184603.15692599726,1,0
277,2,0,55,0,1,10040.160042164072,2,0
278,2,0,55,0,0,130264.75799086526,3,0
279,2,0,55,0,0,-inf,4,0
280,2,0,56,0,0,44949.300750946364,0,0
281,2,0,56,0,1,135217.72961963987,1,1
282,2,1,56,0,1,108893.32947857495,2,1
283,2,2,56,0,1,89971.69695670926,3,0
284,2,2,56,0,0,-inf,4,0
285,2,0,57,0,1,129279.86215558823,0,1
286,2,1,57,0,1,9205.160904453318,1,0
287,2,1,57,0,1,71391.33730571599,2,1
288,2,2,57,0,1,430756.2759942347,3,1
289,2,3,57,0,0,-inf,4,0
290,2,0,58,0,0,285797.41416719975,0,0
291,2,0,58,0,0,91702.66237262495,1,0
292,2,0,58,0,1,9300.391859429134,2,0
293,2,0,58,0,0,81310.60706368822,3,0
294,2,0,58,0,0,-inf,4,0
295,2,0,59,0,1,172601.17705601786,0,1
296,2,1,59,0,1,10088.452295927873,1,1
297,2,2,59,0,1,11493.900790080326,2,1
298,2,3,59,0,1,28530.197360778217,3,1
299,2,4,59,0,0,-inf,4,0
300,1,0,60,1,0,1989.8110896378837,0,0
301,1,0,60,1,1,17629.35050804079,1,0
302,1,0,60,1,1,24459.27842419734,2,0
303,1,0,60,1,0,12151.324056727282,3,0
304,1,0,60,1,0,-inf,4,0
305,1,0,61,1,1,19052.073708170698,0,0
306,1,0,61,1,1,6204.206222750939,1,0
307,1,0,61,1,0,33908.72297843514,2,0
308,1,0,61,1,0,38891.3702130173,3,0
309,1,0,61,1,0,-inf,4,0
310,1,0,62,1,0,30029.022141751717,0,0
311,1,0,62,1,1,181852.89504680515,1,1
312,1,1,62,1,1,28684.684293800365,2,0
313,1,1,62,1,0,39226.53295192939,3,0
314,1,1,62,1,0,-inf,4,0
315,1,0,63,1,0,481418.0567822955,0,0
316,1,0,63,1,0,22353.22730056276,1,0
317,1,0,63,1,0,7616.187161405247,2,0
318,1,0,63,1,0,17828.682466075094,3,0
319,1,0,63,1,0,-inf,4,0
320,1,0,64,1,1,10033.302302907974,0,1
321,1,1,64,1,1,59581.27253505459,1,0
322,1,1,64,1,0,6466.142368351686,2,0
323,1,1,64,1,1,12995.56294580375,3,0
324,1,1,64,1,0,-inf,4,0
325,1,0,65,1,1,9365.088773084351,0,0
326,1,0,65,1,0,33812.82780415416,1,0
327,1,0,65,1,1,46908.52123092624,2,1
328,1,1,65,1,1,7736.138775297724,3,0
329,1,1,65,1,0,-inf,4,0
330,1,0,66,1,0,81998.20031789968,0,0
331,1,0,66,1,1,8301.829624128368,1,1
332,1,1,66,1,1,31005.582390911433,2,1
333,1,2,66,1,1,642164.1102903181,3,1
334,1,3,66,1,0,-inf,4,0
335,1,0,67,1,1,20461.799078183012,0,0
336,1,0,67,1,1,53953.20983372752,1,1
337,1,1,67,1,1,7376.737157411337,2,0
338,1,1,67,1,1,10166.524942955499,3,0
339,1,1,67,1,0,-inf,4,0
340,1,0,68,1,0,17774.348686037127,0,0
341,1,0,68,1,1,63683.24636751345,1,1
342,1,1,68,1,1,28582.300174291013,2,1
343,1,2,68,1,1,50567.90727071721,3,0
344,1,2,68,1,0,-inf,4,0
345,1,0,69,1,1,18901.89681121359,0,0
346,1,0,69,1,0,33375.14681684136,1,0
347,1,0,69,1,0,164447.06292637993,2,0
348,1,0,69,1,1,37338.64444915487,3,1
349,1,1,69,1,0,-inf,4,0
350,2,0,70,1,0,62417.801978221396,0,0
351,2,0,70,1,1,38622.94993966391,1,1
352,2,1,70,1,1,31914.696968027572,2,1
353,2,2,70,1,1,195137.0378618827,3,1
